127.0.0.1 - - [15/Oct/2020:09:41:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:41:46 +0900] "GET /controller/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:41:50 +0900] "GET /controller/list?path=/ HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:41:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:46:53 +0900] "GET /controller/list?path=/ HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:47:41 +0900] "GET /controller/list?path=/ HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:57:08 +0900] "GET /controller/list?path=/ HTTP/1.1" 200 3337
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:57:25 +0900] "GET /controller/list?path=/bigdata HTTP/1.1" 200 3653
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:22:14 +0900] "GET /controller/mkdir?path=/bigdata/asd HTTP/1.1" 200 3140
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:25:06 +0900] "GET /controller/list?path=/bigdata HTTP/1.1" 200 3939
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:45:09 +0900] "GET /controller/list?path=/bigdata/files HTTP/1.1" 200 3622
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:45:18 +0900] "GET /controller/delDir?path=/bigdata/files/news.txt HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:45:20 +0900] "GET /controller/list?path=/bigdata/files HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:45:22 +0900] "GET /controller/list?path=/bigdata HTTP/1.1" 200 3939
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:45:27 +0900] "GET /controller/list?path=/bigdata/asd HTTP/1.1" 200 3107
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:45:29 +0900] "GET /controller/list?path=/bigdata HTTP/1.1" 200 3939
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:54:19 +0900] "GET /controller/list?path=/bigdata HTTP/1.1" 200 3939
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:54:21 +0900] "GET /controller/resources/html/popup.html HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:54:29 +0900] "GET /controller/resources/html/popup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:54:36 +0900] "GET /controller/resources/html/popup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:59:00 +0900] "GET /controller/list?path=/bigdata HTTP/1.1" 200 3939
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:59:02 +0900] "GET /controller/resources/html/popup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:59:24 +0900] "GET /controller/mkdir?path=/save HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:59:26 +0900] "GET /controller/list?path= HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:59:30 +0900] "GET /controller/list?path=/save HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:59:37 +0900] "GET /controller/resources/html/popup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:00:16 +0900] "POST /controller/copyFromLocal HTTP/1.1" 200 3059
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:01:23 +0900] "GET /controller/resources/html/popup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:14:34 +0900] "GET /controller/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:14:34 +0900] "GET /controller/list?path=/ HTTP/1.1" 200 3602
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:14:43 +0900] "GET /controller/list?path=/save HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:14:44 +0900] "GET /controller/resources/html/popup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:14:54 +0900] "POST /controller/copyFromLocal HTTP/1.1" 500 4205
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:22:35 +0900] "GET /controller/list?path=/save HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:22:35 +0900] "GET /controller/resources/html/popup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:22:38 +0900] "GET /controller/list?path=/ HTTP/1.1" 200 3602
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:22:38 +0900] "GET /controller/list?path=/ HTTP/1.1" 200 3602
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:22:41 +0900] "GET /controller/list?path=/save HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:22:42 +0900] "GET /controller/resources/html/popup.html HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:22:52 +0900] "POST /controller/copyFromLocal HTTP/1.1" 500 4272
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:23:46 +0900] "POST /controller/copyFromLocal HTTP/1.1" 200 3098
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:23:49 +0900] "GET /controller/list?path= HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:36:57 +0900] "GET /controller/resources/html/popup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:11:37:09 +0900] "POST /controller/copyFromLocal HTTP/1.1" 200 3098
