"","사용일자","노선명","total"
"1",1,"1호선",431452
"2",1,"2호선",2575416
"3",1,"3호선",949576
"4",1,"4호선",928619
"5",1,"5호선",1130635
"6",1,"6호선",595028
"7",1,"7호선",1305681
"8",1,"8호선",350313
"9",1,"9호선",495868
"10",1,"9호선2~3단계",163886
"11",1,"경강선",49905
"12",1,"경부선",784698
"13",1,"경원선",363607
"14",1,"경의선",199538
"15",1,"경인선",516568
"16",1,"경춘선",66665
"17",1,"공항철도 1호선",154100
"18",1,"과천선",178934
"19",1,"분당선",655011
"20",1,"수인선",74949
"21",1,"안산선",218070
"22",1,"우이신설선",80256
"23",1,"일산선",199698
"24",1,"장항선",21611
"25",1,"중앙선",167308
"26",2,"1호선",413347
"27",2,"2호선",2555698
"28",2,"3호선",933249
"29",2,"4호선",912114
"30",2,"5호선",1115685
"31",2,"6호선",583839
"32",2,"7호선",1279633
"33",2,"8호선",343865
"34",2,"9호선",487661
"35",2,"9호선2~3단계",163682
"36",2,"경강선",48503
"37",2,"경부선",759249
"38",2,"경원선",346668
"39",2,"경의선",190841
"40",2,"경인선",494438
"41",2,"경춘선",63184
"42",2,"공항철도 1호선",149820
"43",2,"과천선",176656
"44",2,"분당선",646087
"45",2,"수인선",71045
"46",2,"안산선",209036
"47",2,"우이신설선",76834
"48",2,"일산선",189636
"49",2,"장항선",20119
"50",2,"중앙선",159447
"51",3,"1호선",442380
"52",3,"2호선",2649314
"53",3,"3호선",968731
"54",3,"4호선",951454
"55",3,"5호선",1158863
"56",3,"6호선",610253
"57",3,"7호선",1322296
"58",3,"8호선",357482
"59",3,"9호선",506590
"60",3,"9호선2~3단계",169533
"61",3,"경강선",50229
"62",3,"경부선",788624
"63",3,"경원선",369257
"64",3,"경의선",203155
"65",3,"경인선",516296
"66",3,"경춘선",67130
"67",3,"공항철도 1호선",155709
"68",3,"과천선",184649
"69",3,"분당선",670974
"70",3,"수인선",75879
"71",3,"안산선",218864
"72",3,"우이신설선",80895
"73",3,"일산선",203012
"74",3,"장항선",20824
"75",3,"중앙선",171161
"76",4,"1호선",438454
"77",4,"2호선",2643232
"78",4,"3호선",975154
"79",4,"4호선",944462
"80",4,"5호선",1147334
"81",4,"6호선",604234
"82",4,"7호선",1315533
"83",4,"8호선",360543
"84",4,"9호선",504823
"85",4,"9호선2~3단계",169093
"86",4,"경강선",51024
"87",4,"경부선",787447
"88",4,"경원선",364651
"89",4,"경의선",200271
"90",4,"경인선",510813
"91",4,"경춘선",65432
"92",4,"공항철도 1호선",157108
"93",4,"과천선",182943
"94",4,"분당선",686584
"95",4,"수인선",74674
"96",4,"안산선",216304
"97",4,"우이신설선",79804
"98",4,"일산선",199493
"99",4,"장항선",23730
"100",4,"중앙선",168124
"101",5,"1호선",457746
"102",5,"2호선",2727681
"103",5,"3호선",1031016
"104",5,"4호선",976749
"105",5,"5호선",1167288
"106",5,"6호선",621796
"107",5,"7호선",1346568
"108",5,"8호선",362457
"109",5,"9호선",533661
"110",5,"9호선2~3단계",171330
"111",5,"경강선",55267
"112",5,"경부선",841553
"113",5,"경원선",385333
"114",5,"경의선",204383
"115",5,"경인선",531279
"116",5,"경춘선",69125
"117",5,"공항철도 1호선",165061
"118",5,"과천선",186736
"119",5,"분당선",705491
"120",5,"수인선",77503
"121",5,"안산선",227268
"122",5,"우이신설선",80753
"123",5,"일산선",208907
"124",5,"장항선",24860
"125",5,"중앙선",178876
"126",6,"1호선",276122
"127",6,"2호선",1549771
"128",6,"3호선",597916
"129",6,"4호선",599067
"130",6,"5호선",624599
"131",6,"6호선",376838
"132",6,"7호선",755940
"133",6,"8호선",211326
"134",6,"9호선",294157
"135",6,"9호선2~3단계",90352
"136",6,"경강선",36003
"137",6,"경부선",560097
"138",6,"경원선",280454
"139",6,"경의선",120981
"140",6,"경인선",348955
"141",6,"경춘선",58178
"142",6,"공항철도 1호선",100319
"143",6,"과천선",105599
"144",6,"분당선",403547
"145",6,"수인선",49710
"146",6,"안산선",153312
"147",6,"우이신설선",56423
"148",6,"일산선",130166
"149",6,"장항선",17605
"150",6,"중앙선",129824
"151",7,"1호선",203990
"152",7,"2호선",1125268
"153",7,"3호선",451195
"154",7,"4호선",436342
"155",7,"5호선",467939
"156",7,"6호선",294500
"157",7,"7호선",587261
"158",7,"8호선",162921
"159",7,"9호선",222107
"160",7,"9호선2~3단계",66106
"161",7,"경강선",28986
"162",7,"경부선",454507
"163",7,"경원선",229182
"164",7,"경의선",93510
"165",7,"경인선",265579
"166",7,"경춘선",47317
"167",7,"공항철도 1호선",84499
"168",7,"과천선",78588
"169",7,"분당선",301396
"170",7,"수인선",39775
"171",7,"안산선",120323
"172",7,"우이신설선",47933
"173",7,"일산선",100240
"174",7,"장항선",16465
"175",7,"중앙선",103732
"176",8,"1호선",427337
